,Unnamed: 0,version,id,key,name,title,blurb,Tag1,Tag2,partype,info.attack,info.defense,info.magic,info.difficulty,image.full,image.sprite,image.group,image.x,image.y,image.w,image.h,stats.hp,stats.hpperlevel,stats.mp,stats.mpperlevel,stats.movespeed,stats.armor,stats.armorperlevel,stats.spellblock,stats.spellblockperlevel,stats.attackrange,stats.hpregen,stats.hpregenperlevel,stats.mpregen,stats.mpregenperlevel,stats.crit,stats.critperlevel,stats.attackdamage,stats.attackdamageperlevel,stats.attackspeedperlevel,stats.attackspeed,Runes0,Items0,Spells0,Runes1,Items1,Spells1,Runes2,Items2,Spells2,Allies0,Allies1,Allies2,Counters0,Counters1,Counters2
0,0,9.22.1,Aatrox,266,Aatrox,the Darkin Blade,"Once honored defenders of Shurima against the Void, Aatrox and his brethren would eventually become an even greater threat to Runeterra, and were defeated only by cunning mortal sorcery. But after centuries of imprisonment, Aatrox was the first to find...",'Fighter', 'Tank',Blood Well,8,4,3,4,Aatrox.png,champion0.png,champion,0,0,48,48,580.0,90,0.0,0.0,345,38.0,3.25,32.1,1.25,175,3.0,1.0,0.0,0.0,0,0,60.0,5.0,2.5,0.6509999999999999,9111,3071,4,8010,3812,12,8135,3047,14,Caitlyn,Kaisa,Thresh,Caitlyn,Yasuo,LeeSin
1,1,9.22.1,Ahri,103,Ahri,the Nine-Tailed Fox,"Innately connected to the latent power of Runeterra, Ahri is a vastaya who can reshape magic into orbs of raw energy. She revels in toying with her prey by manipulating their emotions before devouring their life essence. Despite her predatory nature...",'Mage', 'Assassin',Mana,3,4,8,5,Ahri.png,champion0.png,champion,48,0,48,48,526.0,92,418.0,25.0,330,20.88,3.5,30.0,0.5,550,6.5,0.6,8.0,0.8,0,0,53.04,3.0,2.0,0.6679999999999999,8112,3020,4,8138,3285,14,8226,1056,12,Thresh,Caitlyn,Kaisa,Thresh,Jhin,Caitlyn
2,2,9.22.1,Akali,84,Akali,the Rogue Assassin,"Abandoning the Kinkou Order and her title of the Fist of Shadow, Akali now strikes alone, ready to be the deadly weapon her people need. Though she holds onto all she learned from her master Shen, she has pledged to defend Ionia from its enemies, one...",'Assassin',,Energy,5,3,8,7,Akali.png,champion0.png,champion,96,0,48,48,575.0,95,200.0,0.0,345,23.0,3.5,37.0,1.25,125,8.0,0.5,50.0,0.0,0,0,62.4,3.3,3.2,0.625,8014,3146,4,8135,3020,14,9111,3157,12,Kaisa,Yasuo,Senna,Kaisa,Yasuo,Ekko
3,3,9.22.1,Alistar,12,Alistar,the Minotaur,"Always a mighty warrior with a fearsome reputation, Alistar seeks revenge for the death of his clan at the hands of the Noxian empire. Though he was enslaved and forced into the life of a gladiator, his unbreakable will was what kept him from truly...",'Tank', 'Support',Mana,6,9,5,7,Alistar.png,champion0.png,champion,144,0,48,48,573.36,106,350.0,40.0,330,44.0,3.5,32.1,1.25,125,8.5,0.85,8.5,0.8,0,0,61.1116,3.62,2.125,0.625,8439,3117,4,8446,3401,14,8451,3109,3,Kaisa,Jinx,Yasuo,Kaisa,Senna,Pyke
4,4,9.22.1,Amumu,32,Amumu,the Sad Mummy,"Legend claims that Amumu is a lonely and melancholy soul from ancient Shurima, roaming the world in search of a friend. Doomed by an ancient curse to remain alone forever, his touch is death, his affection ruin. Those who claim to have seen him describe...",'Tank', 'Mage',Mana,2,6,8,3,Amumu.png,champion0.png,champion,192,0,48,48,613.12,84,287.2,40.0,335,33.0,3.8,32.1,1.25,125,9.0,0.85,7.3820000000000014,0.525,0,0,53.38,3.8,2.18,0.736,8439,1401,4,8451,3047,11,8463,3001,14,Caitlyn,Senna,Ashe,Caitlyn,Yasuo,Kaisa
5,5,9.22.1,Anivia,34,Anivia,the Cryophoenix,"Anivia is a benevolent winged spirit who endures endless cycles of life, death, and rebirth to protect the Freljord. A demigod born of unforgiving ice and bitter winds, she wields those elemental powers to thwart any who dare disturb her homeland...",'Mage', 'Support',Mana,1,4,10,10,Anivia.png,champion0.png,champion,240,0,48,48,480.0,82,495.0,25.0,325,21.22,4.0,30.0,0.5,600,5.5,0.55,8.0,0.8,0,0,51.37600000000001,3.2,1.68,0.625,8226,3027,4,8229,3020,12,8236,3040,14,Caitlyn,Ashe,Thresh,Caitlyn,Ashe,Thresh
6,6,9.22.1,Annie,1,Annie,the Dark Child,"Dangerous, yet disarmingly precocious, Annie is a child mage with immense pyromantic power. Even in the shadows of the mountains north of Noxus, she is a magical outlier. Her natural affinity for fire manifested early in life through unpredictable...",'Mage',,Mana,2,3,10,6,Annie.png,champion0.png,champion,288,0,48,48,524.0,88,418.0,25.0,335,19.22,4.0,30.0,0.5,625,5.5,0.55,8.0,0.8,0,0,50.41,2.625,1.36,0.579,8138,3020,4,8126,3285,14,8112,1056,12,Senna,Caitlyn,Kaisa,Yasuo,Tristana,Senna
7,7,9.22.1,Ashe,22,Ashe,the Frost Archer,"Iceborn warmother of the Avarosan tribe, Ashe commands the most populous horde in the north. Stoic, intelligent, and idealistic, yet uncomfortable with her role as leader, she taps into the ancestral magics of her lineage to wield a bow of True Ice...",'Marksman', 'Support',Mana,7,3,2,4,Ashe.png,champion0.png,champion,336,0,48,48,539.0,85,280.0,32.0,325,26.0,3.4,30.0,0.5,600,3.5,0.55,6.972,0.4,0,0,61.0,2.96,3.33,0.6579999999999999,8014,3006,4,9111,3153,7,8008,3085,14,Yasuo,Ekko,Thresh,Caitlyn,Yasuo,Kaisa
8,8,9.22.1,AurelionSol,136,Aurelion Sol,The Star Forger,"Aurelion Sol once graced the vast emptiness of the cosmos with celestial wonders of his own devising. Now, he is forced to wield his awesome power at the behest of a space-faring empire that tricked him into servitude. Desiring a return to his...",'Mage',,Mana,2,3,8,7,AurelionSol.png,champion0.png,champion,384,0,48,48,575.0,92,350.0,50.0,325,19.0,3.6,30.0,0.5,550,7.0,0.6,6.0,0.8,0,0,57.0,3.2,1.36,0.625,8112,3116,4,8138,3027,14,8352,2033,3,Thresh,Kaisa,LeeSin,Thresh,Yasuo,LeeSin
9,9,9.22.1,Azir,268,Azir,the Emperor of the Sands,"Azir was a mortal emperor of Shurima in a far distant age, a proud man who stood at the cusp of immortality. His hubris saw him betrayed and murdered at the moment of his greatest triumph, but now, millennia later, he has been reborn as an Ascended...",'Mage', 'Marksman',Mana,6,3,8,9,Azir.png,champion0.png,champion,432,0,48,48,552.0,92,438.0,21.0,335,19.04,3.0,30.0,0.5,525,7.0,0.75,8.0,0.8,0,0,52.0,2.8,3.0,0.625,8226,3020,4,9104,3115,21,8014,3285,14,Kaisa,Yasuo,Thresh,Yasuo,Kaisa,Jinx
10,10,9.22.1,Bard,432,Bard,the Wandering Caretaker,"A traveler from beyond the stars, Bard is an agent of serendipity who fights to maintain a balance where life can endure the indifference of chaos. Many Runeterrans sing songs that ponder his extraordinary nature, yet they all agree that the cosmic...",'Support', 'Mage',Mana,4,4,5,9,Bard.png,champion0.png,champion,0,48,48,48,575.0,89,350.0,50.0,330,34.0,4.0,30.0,0.5,500,5.5,0.55,6.0,0.45,0,0,52.0,3.0,2.0,0.625,8126,3117,4,8112,3092,14,8105,3107,3,Kaisa,Yasuo,Caitlyn,Kaisa,Yasuo,Thresh
11,11,9.22.1,Blitzcrank,53,Blitzcrank,the Great Steam Golem,"Blitzcrank is an enormous, near-indestructible automaton from Zaun, originally built to dispose of hazardous waste. However, he found this primary purpose too restricting, and modified his own form to better serve the fragile people of the Sump...",'Tank', 'Fighter',Mana,4,8,5,4,Blitzcrank.png,champion0.png,champion,48,48,48,48,582.6,95,267.2,40.0,325,40.0,3.5,32.1,1.25,125,8.5,0.75,8.5,0.8,0,0,61.54,3.5,1.13,0.625,8439,3117,4,8446,3401,14,8345,3050,3,Kaisa,Caitlyn,Jinx,Thresh,Ezreal,Caitlyn
12,12,9.22.1,Brand,63,Brand,the Burning Vengeance,"Once a tribesman of the icy Freljord named Kegan Rodhe, the creature known as Brand is a lesson in the temptation of greater power. Seeking one of the legendary World Runes, Kegan betrayed his companions and seized it for himself—and, in an instant, the...",'Mage',,Mana,2,2,9,4,Brand.png,champion0.png,champion,96,48,48,48,519.68,88,469.0,21.0,340,21.88,3.5,30.0,0.5,550,5.5,0.55,10.665,0.6,0,0,57.04,3.0,1.36,0.625,8226,3020,4,8237,3151,14,8138,3116,3,Caitlyn,Ashe,Kaisa,Caitlyn,Senna,Kaisa
13,13,9.22.1,Braum,201,Braum,the Heart of the Freljord,"Blessed with massive biceps and an even bigger heart, Braum is a beloved hero of the Freljord. Every mead hall north of Frostheld toasts his legendary strength, said to have felled a forest of oaks in a single night, and punched an entire mountain into...",'Support', 'Tank',Mana,3,9,4,3,Braum.png,champion0.png,champion,144,48,48,48,540.0,87,310.6,45.0,335,47.0,4.0,32.1,1.25,125,8.0,1.0,6.0,0.8,0,0,55.37600000000001,3.2,3.5,0.644,8465,3401,4,8473,3117,14,8463,3109,3,Kaisa,Ryze,Jax,Twitch,Ryze,Senna
14,14,9.22.1,Caitlyn,51,Caitlyn,the Sheriff of Piltover,"Renowned as its finest peacekeeper, Caitlyn is also Piltover's best shot at ridding the city of its elusive criminal elements. She is often paired with Vi, acting as a cool counterpoint to her partner's more impetuous nature. Even though she carries a...",'Marksman',,Mana,8,2,2,6,Caitlyn.png,champion0.png,champion,192,48,48,48,481.0,91,313.7,35.0,325,28.0,3.5,30.0,0.5,650,3.5,0.55,7.4,0.55,0,0,62.0,2.88,4.0,0.625,8014,3006,4,8021,3031,7,9111,3094,12,Ekko,Senna,Thresh,Ezreal,Senna,Kaisa
15,15,9.22.1,Camille,164,Camille,the Steel Shadow,"Weaponized to operate outside the boundaries of the law, Camille is the Principal Intelligencer of Clan Ferros—an elegant and elite agent who ensures the Piltover machine and its Zaunite underbelly runs smoothly. Adaptable and precise, she views sloppy...",'Fighter', 'Tank',Mana,8,6,3,4,Camille.png,champion0.png,champion,240,48,48,48,575.6,85,338.8,32.0,340,35.0,3.8,32.1,1.25,125,8.5,0.8,8.15,0.75,0,0,68.0,3.5,2.5,0.644,9111,3078,4,8473,3074,12,8401,3047,14,Caitlyn,Ekko,Senna,Ekko,Jinx,Senna
16,16,9.22.1,Cassiopeia,69,Cassiopeia,the Serpent's Embrace,"Cassiopeia is a deadly creature bent on manipulating others to her sinister will. Youngest and most beautiful daughter of the noble Du Couteau family of Noxus, she ventured deep into the crypts beneath Shurima in search of ancient power. There, she was...",'Mage',,Mana,2,3,9,10,Cassiopeia.png,champion0.png,champion,288,48,48,48,575.0,90,350.0,40.0,328,20.0,3.5,30.0,0.5,550,5.5,0.5,8.0,0.8,0,0,53.0,3.0,1.5,0.647,8226,3040,4,8230,3116,12,8135,1056,14,Kaisa,Yasuo,Ashe,Yasuo,Caitlyn,Kaisa
17,17,9.22.1,Chogath,31,Cho'Gath,the Terror of the Void,"From the moment Cho'Gath first emerged into the harsh light of Runeterra's sun, the beast was driven by the most pure and insatiable hunger. A perfect expression of the Void's desire to consume all life, Cho'Gath's complex biology quickly converts...",'Tank', 'Mage',Mana,3,7,7,5,Chogath.png,champion0.png,champion,336,48,48,48,574.4,80,272.2,40.0,345,38.0,3.5,32.1,1.25,125,9.0,0.85,7.206,0.45,0,0,69.0,4.2,1.44,0.625,8126,3111,4,8451,3800,12,8446,3047,14,Ashe,Lux,Darius,Ashe,Lux,Darius
18,18,9.22.1,Corki,42,Corki,the Daring Bombardier,"The yordle pilot Corki loves two things above all others: flying, and his glamorous mustache... though not necessarily in that order. After leaving Bandle City, he settled in Piltover and fell in love with the wondrous machines he found there. He...",'Marksman',,Mana,8,3,6,6,Corki.png,champion0.png,champion,384,48,48,48,518.0,87,350.16,34.0,325,28.0,3.5,30.0,0.5,550,5.5,0.55,7.423999999999999,0.55,0,0,55.0,2.5,2.3,0.638,8014,3078,4,9111,3020,12,8021,3031,7,Caitlyn,Thresh,Ashe,Yasuo,Ashe,Thresh
19,19,9.22.1,Darius,122,Darius,the Hand of Noxus,"There is no greater symbol of Noxian might than Darius, the nation's most feared and battle-hardened commander. Rising from humble origins to become the Hand of Noxus, he cleaves through the empire's enemies—many of them Noxians themselves. Knowing that...",'Fighter', 'Tank',Mana,9,5,1,2,Darius.png,champion0.png,champion,432,48,48,48,582.24,100,263.0,37.5,340,39.0,4.0,32.1,1.25,175,10.0,0.95,6.6,0.35,0,0,64.0,5.0,1.0,0.625,9111,3078,4,8010,3111,6,8014,3047,12,Caitlyn,Kaisa,Ashe,Kaisa,Caitlyn,Ashe
20,20,9.22.1,Diana,131,Diana,Scorn of the Moon,"Bearing her crescent moonblade, Diana fights as a warrior of the Lunari—a faith all but quashed in the lands around Mount Targon. Clad in shimmering armor the color of winter snow at night, she is a living embodiment of the silver moon's power. Imbued...",'Fighter', 'Mage',Mana,7,6,8,4,Diana.png,champion0.png,champion,0,96,48,48,594.0,95,372.0,20.0,345,31.0,3.6,32.1,1.25,150,7.5,0.85,8.0,0.8,0,0,53.04,3.0,2.25,0.625,8112,3020,4,8138,3089,14,8135,1056,12,Caitlyn,Ezreal,Senna,Ezreal,Kaisa,Pyke
21,21,9.22.1,Draven,119,Draven,the Glorious Executioner,"In Noxus, warriors known as Reckoners face one another in arenas where blood is spilled and strength tested—but none has ever been as celebrated as Draven. A former soldier, he found that the crowds uniquely appreciated his flair for the dramatic, and...",'Marksman',,Mana,9,3,1,8,Draven.png,champion0.png,champion,48,96,48,48,574.0,88,360.56,39.0,330,29.0,3.3,30.0,0.5,550,3.75,0.7,8.042,0.65,0,0,60.0,3.61,2.7,0.679,8014,3006,4,9111,3072,7,9104,3031,12,Yasuo,Ekko,Thresh,Jhin,Caitlyn,Kaisa
22,22,9.22.1,DrMundo,36,Dr. Mundo,the Madman of Zaun,"Utterly insane, unrepentantly homicidal, and horrifyingly purple, Dr. Mundo is what keeps many of Zaun's citizens indoors on particularly dark nights. This monosyllabic monstrosity seems to want nothing more than pain—both the giving of it, and the...",'Fighter', 'Tank',None,5,7,6,5,DrMundo.png,champion0.png,champion,96,96,48,48,582.52,89,0.0,0.0,345,36.0,3.5,32.1,1.25,125,8.0,0.75,0.0,0.0,0,0,61.27,3.5,2.8,0.721,9111,3065,4,8304,1413,11,8021,3083,12,Caitlyn,Ezreal,Ashe,Ezreal,Akali,LeeSin
23,23,9.22.1,Ekko,245,Ekko,the Boy Who Shattered Time,"A prodigy from the rough streets of Zaun, Ekko manipulates time to twist any situation to his advantage. Using his own invention, the Zero Drive, he explores the branching possibilities of reality to craft the perfect moment. Though he revels in this...",'Assassin', 'Fighter',Mana,5,3,7,8,Ekko.png,champion0.png,champion,144,96,48,48,585.0,85,280.0,50.0,340,32.0,3.0,32.0,1.25,125,9.0,0.9,7.0,0.8,0,0,58.0,3.0,3.3,0.688,8143,3020,4,8138,3100,11,8135,3152,14,Senna,Caitlyn,Kaisa,Senna,Kaisa,Yasuo
24,24,9.22.1,Elise,60,Elise,the Spider Queen,"Elise is a deadly predator who dwells in a shuttered, lightless palace, deep within the oldest city of Noxus. Once mortal, she was the mistress of a powerful house, but the bite of a vile demigod transformed her into something beautiful, yet utterly...",'Mage', 'Fighter',Mana,6,5,7,9,Elise.png,champion0.png,champion,192,96,48,48,534.0,93,324.0,50.0,330,27.0,3.35,30.0,0.5,550,5.5,0.6,6.0,0.8,0,0,55.0,3.0,1.75,0.625,8112,3020,4,8138,1402,11,8126,3165,14,Senna,Yasuo,Kaisa,Brand,Ekko,Kaisa
25,25,9.22.1,Evelynn,28,Evelynn,Agony's Embrace,"Within the dark seams of Runeterra, the demon Evelynn searches for her next victim. She lures in prey with the voluptuous façade of a human female, but once a person succumbs to her charms, Evelynn's true form is unleashed. She then subjects her victim...",'Assassin', 'Mage',Mana,4,2,7,10,Evelynn.png,champion0.png,champion,240,96,48,48,572.0,84,315.6,42.0,335,37.0,3.5,32.1,1.25,125,8.5,0.75,8.107999999999999,0.6,0,0,61.0,3.0,2.1,0.667,8138,1402,4,8143,3020,11,8112,3100,14,Nautilus,Caitlyn,Ezreal,Ezreal,Lux,Ekko
26,26,9.22.1,Ezreal,81,Ezreal,the Prodigal Explorer,"A dashing adventurer, unknowingly gifted in the magical arts, Ezreal raids long-lost catacombs, tangles with ancient curses, and overcomes seemingly impossible odds with ease. His courage and bravado knowing no bounds, he prefers to improvise his way...",'Marksman', 'Mage',Mana,7,2,6,7,Ezreal.png,champion0.png,champion,288,96,48,48,491.0,86,360.6,42.0,325,22.0,3.5,30.0,0.5,550,4.0,0.55,8.092,0.65,0,0,60.0,2.5,1.5,0.625,8359,3042,4,8347,3158,7,8304,3025,12,Thresh,Lux,Yasuo,Caitlyn,Kaisa,LeeSin
27,27,9.22.1,Fiddlesticks,9,Fiddlesticks,the Harbinger of Doom,"Fiddlesticks is a ghastly, living scarecrow who stalks the darkness, wielding a cruel scythe and preying upon the unwary. Once a lonely man accused of bringing famine to his village, he was tied up and left to starve in his own barren field. Resurrected...",'Mage', 'Support',Mana,2,3,9,9,Fiddlesticks.png,champion0.png,champion,336,96,48,48,524.4,80,500.0,28.0,335,30.0,3.5,30.0,0.5,480,5.5,0.6,8.0,0.8,0,0,48.36,2.625,2.11,0.625,8226,3157,4,8229,3020,14,8313,3098,11,Ashe,Yasuo,Darius,Yasuo,Morgana,Lucian
28,28,9.22.1,Fiora,114,Fiora,the Grand Duelist,"The most feared duelist in all Valoran, Fiora is as renowned for her brusque manner and cunning mind as she is for the speed of her bluesteel rapier. Born to House Laurent in the kingdom of Demacia, Fiora took control of the family from her father in...",'Fighter', 'Assassin',Mana,10,4,2,3,Fiora.png,champion0.png,champion,384,96,48,48,550.0,85,300.0,40.0,345,33.0,3.5,32.1,1.25,150,8.5,0.55,8.0,0.7,0,0,68.0,3.3,3.2,0.69,9111,3074,4,8014,3078,12,8010,1055,14,Senna,Kaisa,Caitlyn,Senna,Ezreal,Kaisa
29,29,9.22.1,Fizz,105,Fizz,the Tidal Trickster,"Fizz is an amphibious yordle, who dwells among the reefs surrounding Bilgewater. He often retrieves and returns the tithes cast into the sea by superstitious captains, but even the saltiest of sailors know better than to cross him—for many are the tales...",'Assassin', 'Fighter',Mana,6,4,7,6,Fizz.png,champion0.png,champion,432,96,48,48,570.0,98,317.2,37.0,335,22.412,3.4,32.1,1.25,175,8.0,0.7,6.0,0.8,0,0,58.04,3.0,3.1,0.6579999999999999,8112,3100,4,8143,3020,14,8138,3152,12,Caitlyn,Thresh,Ezreal,Caitlyn,Ezreal,Kaisa
30,30,9.22.1,Galio,3,Galio,the Colossus,"Outside the gleaming city of Demacia, the stone colossus Galio keeps vigilant watch. Built as a bulwark against enemy mages, he often stands motionless for decades until the presence of powerful magic stirs him to life. Once activated, Galio makes the...",'Tank', 'Mage',Mana,1,10,6,5,Galio.png,champion1.png,champion,0,0,48,48,562.0,112,500.0,40.0,335,24.0,3.5,32.0,1.25,150,8.0,0.8,9.5,0.7,0,0,59.0,3.5,1.5,0.625,8439,3152,4,8451,3111,12,8473,1056,14,Lucian,Senna,Kaisa,Lucian,MasterYi,Darius
31,31,9.22.1,Gangplank,41,Gangplank,the Saltwater Scourge,"As unpredictable as he is brutal, the dethroned reaver king Gangplank is feared far and wide. Once, he ruled the port city of Bilgewater, and while his reign is over, there are those who believe this has only made him more dangerous. Gangplank would see...",'Fighter',,Mana,7,6,4,9,Gangplank.png,champion1.png,champion,48,0,48,48,540.0,82,282.0,40.0,345,35.0,3.0,32.1,1.25,125,6.0,0.6,7.5,0.7,0,0,64.0,3.0,3.2,0.6579999999999999,8446,3078,4,8437,3508,12,8473,3047,14,Yasuo,Senna,Kaisa,Yasuo,Khazix,Kaisa
32,32,9.22.1,Garen,86,Garen,The Might of Demacia,"A proud and noble warrior, Garen fights as one of the Dauntless Vanguard. He is popular among his fellows, and respected well enough by his enemies—not least as a scion of the prestigious Crownguard family, entrusted with defending Demacia and its...",'Fighter', 'Tank',None,7,7,1,5,Garen.png,champion1.png,champion,96,0,48,48,620.0,84,0.0,0.0,340,36.0,3.0,32.1,1.25,175,8.0,0.5,0.0,0.0,0,0,66.0,4.5,3.65,0.625,9111,3078,4,8010,1054,12,8014,3111,14,Ashe,Kaisa,Yasuo,Ashe,Kaisa,Yasuo
33,33,9.22.1,Gnar,150,Gnar,the Missing Link,"Gnar is a primeval yordle whose playful antics can erupt into a toddler's outrage in an instant, transforming him into a massive beast bent on destruction. Frozen in True Ice for millennia, the curious creature broke free and now hops about a changed...",'Fighter', 'Tank',Rage,6,5,5,8,Gnar.png,champion1.png,champion,144,0,48,48,510.0,65,100.0,0.0,325,32.0,2.5,30.0,0.5,175,4.5,1.75,0.0,0.0,0,0,59.0,3.0,6.0,0.625,9111,3071,4,9104,1055,12,8446,3022,14,Kaisa,Caitlyn,LeeSin,Kaisa,Caitlyn,LeeSin
34,34,9.22.1,Gragas,79,Gragas,the Rabble Rouser,"Equal parts jolly and imposing, Gragas is a massive, rowdy brewmaster on his own quest for the perfect pint of ale. Hailing from parts unknown, he now searches for rare ingredients among the unblemished wastes of the Freljord, trying each recipe as he...",'Fighter', 'Mage',Mana,4,7,6,5,Gragas.png,champion1.png,champion,192,0,48,48,600.0,95,400.0,47.0,330,35.0,3.6,32.1,1.25,125,5.5,0.5,6.0,0.8,0,0,64.0,3.5,2.05,0.675,8138,1402,4,8143,3020,11,8124,3157,14,Yasuo,Caitlyn,Ashe,Caitlyn,Yasuo,LeeSin
